title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptUrl,hub,format,type,tags,boards,status,durationMinutes,views,shares,createdAt
BVA + Calculator Refresh,bva-calculator-refresh,"The EH: 3/27/25 BVA + Calculator Refresh folder contains enablement materials, including meeting notes and a presentation, primarily focused on the rollout of Sidekick on Voice and the refreshed Bu...",https://drive.google.com/file/d/1rpOKnh9r-OhvoXlUNpojpL0XlZl8pzeH/view?usp=drive_link,https://drive.google.com/file/d/1rpOKnh9r-OhvoXlUNpojpL0XlZl8pzeH/view?usp=drive_link,https://docs.google.com/presentation/d/1Oi9jC2MILX1wbOiOoU0HhnCXprtdXuG0x3kY9-wGJWc/edit?usp=drive_link,https://drive.google.com/drive/folders/1IT1H1wQDGpdMGp0R4oNpqQwPJ2bU9-DT,,enablement,live-replay,value-realization,bva|coe|csm|gladly|roi|sales|value-realization|voice,enablement,published,,0,0,2025-12-28T08:08:11.988Z
BVA Intro deck for Customers,bva-intro-deck-for-customers,"This deck can supplement your discovery to introduce the exercise to prospect or customers: the BVA process, why it could benefit them, potential data required, and what sample outputs look like.",https://docs.google.com/presentation/d/1AWu9KZw2Kcc6oThj2q6FU0oXGeqavwlJ9KD3uEXyyMo/edit#slide=id.g2815936df9e_0_7,,,,,enablement,guide,value-realization,csm|customer-success|sales,enablement,published,,0,0,2025-12-28T08:20:23.496Z
BVA Readout Template,bva-readout-template,BVA Readout Template for telling compelling value stories with financial justification.,https://docs.google.com/presentation/d/15ScGeoNBnZ63_RZ5eOwhDouVTCZR4l9xG1jYs8F79d0/present,,,,,content,slides,template,bva|financial-justification|readout|roi|value,content,published,,0,0,2025-12-28T09:00:03.135Z
BVA SLA + Live Demo Walkthrough,bva-sla-live-demo-walkthrough,This folder contains resources from an Enablement Hour session focused on two key sales topics: a new Business Value Assessment (BVA) process and the training materials for a 15-Minute Demo Certifi...,https://drive.google.com/file/d/1Itkk6F2_Xyo697xny_TN99yQM4NscpdV/view?usp=drive_link,https://drive.google.com/file/d/1Itkk6F2_Xyo697xny_TN99yQM4NscpdV/view?usp=drive_link,https://docs.google.com/presentation/d/1Xrvj5G2QH9Cz85c4F8nJKKtex4YL7MBdyUf5K4kxaFM/edit?usp=drive_link,https://drive.google.com/drive/folders/1ln1XqawDwxRGg9o1AvjVKfTemyKNc_hb?usp=drive_link,,enablement,live-replay,value-realization,bva|coe|csm|roi|sales|value-realization,enablement,published,,0,0,2025-12-28T08:08:11.988Z
Call Scripts,call-scripts-apex,Internal Facing APEX Outbound messaging with GTM strategy for Sidekick.,https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit,,,,,content,document,messaging,apex|call-scripts|gladly|gtm|outbound|sc|sidekick,content,published,,0,0,2025-12-28T09:00:03.914Z
Case Studies Testimonials Social Proof Slides,case-studies-social-proof-slides,Social Proof collection of customer success stories quotes and key metrics.,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit,,,,,content,slides,template,case-studies|customers|metrics|social-proof|testimonials,content,published,,0,0,2025-12-28T09:00:03.718Z
Competitive Capability Research,competitive-capability-research,Detailed comparison spreadsheet of AI platforms including Sidekick Intercom Fin Decagon Ada and more.,https://docs.google.com/spreadsheets/d/1PupVCE-HdsYnrMkscOI2Mtw73Zbceg02rPVX7XK5TKU/edit,,,,,content,spreadsheet,competitive,ada|comparison|decagon|genesys|gladly|intercom|research|sales|salesforce|sidekick|sierra|zendesk,content,published,,0,0,2025-12-28T09:00:03.135Z
Consumption Dashboard,consumption-dashboard,Dashboard monitoring customer consumption patterns and usage trends.,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002gUYPMA2/view,,,,,coe,tool,internal-best-practice,csm|customer-success|insights|insights-dashboards,coe,published,,0,0,2025-12-28T08:20:23.496Z
Content Cheat Sheet,content-cheat-sheet,Content Cheat Sheet from Gladly Content Team with mission resources and Q3 2025 priorities.,https://docs.google.com/document/d/1wQGGRdwZEQIUoTYM-g50Qn5m90cSTCpiQ7-jDUPhk7o/edit,,,,,content,document,guide,content|marketing|mktg|priorities|resources,content,published,,0,0,2025-12-28T09:00:03.135Z
Content Garden,content-garden,Comprehensive inventory of content assets focused on AI and Customer Experience topics.,https://docs.google.com/spreadsheets/d/1y-p4_Ax7PKwfKDRa3djxYLAjD9tnc3m42YmYwa44aE4/edit,,,,,coe,spreadsheet,dashboard,ai|content|cx|inventory|marketing|mktg,coe,published,,0,0,2025-12-28T09:00:03.135Z
Core Systems Tips and Tricks,core-systems-tips-tricks,Internal resource for RevOps combining system tips with project management templates.,https://docs.google.com/document/d/1uBiC3y-yMgVGLkk67u_PUFttIhb9d8Nfc_qmyVM39J8/edit,,,,,content,document,guide,process|ps|revops|systems|tips,content,published,,0,0,2025-12-28T09:00:03.718Z
CSM Compensation,csm-compensation,"This document is the CSM Compensation Guide for FY 2026, detailing the Customer Success Manager variable pay models for Q1, Q2, and Q3.",https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/edit?tab=t.9t447anjdwmn#heading=h.obkpegulbcns,,,,,coe,tool,internal-best-practice,csm|customer-success,coe,published,,0,0,2025-12-28T08:20:23.496Z
CSM Compensation Guide (FY2026 Q2),csm-compensation-guide-fy2026-q2,"This document is the CSM Compensation Guide FY2026, which details the variable compensation models for Customer Success Managers across Q1, Q2, and Q3.",https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/,,,,,coe,guide,internal-best-practice,csm|customer-success,coe,published,,0,0,2025-12-28T08:20:23.496Z
Customer AI Guide,customer-ai-guide,Comprehensive guide to Gladly Customer AI capabilities and implementation.,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,content,pdf,guide,capabilities|customer-ai|impl|implementation|overview,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer AI Guide with App Platform,customer-ai-guide-app-platform,Presentation introducing Sidekick Email and new App Platform features.,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,content,pdf,guide,app-platform|customer-ai|features|gladly|sidekick-email,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer AI One Pager,customer-ai-one-pager,Infographic detailing Gladly Customer AI intelligence layer for CX Platform.,https://drive.google.com/file/d/1dVUrfYkQUHbuUY2kiM3WnfnoZOlGLY1D/view,,,,,content,pdf,one-pager,customer-ai|efficiency|personalization|platform,content,published,,0,0,2025-12-28T09:00:03.718Z
Customer AI Video 30 sec,customer-ai-video-30sec,30-second video highlighting Gladly Customer AI platform integration.,https://gladly.wistia.com/medias/9u1ti1dmce,,,,,content,video,deck,customer-ai|overview|platform|short-form|video,content,published,,0,0,2025-12-28T09:00:03.914Z
Customer Meeting Slides,customer-meeting-slides,CS slides for leading compelling actionable customer meetings based on outcomes.,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit,,,,,content,slides,template,csm|customer-meeting|outcomes|qbr|slides,content,published,,0,0,2025-12-28T09:00:03.135Z
Customer Meeting Template Megadeck,customer-meeting-megadeck,Customer Meeting Megadeck FY26 Q4 modular presentation for CSMs and AMs.,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit,,,,,content,slides,template,csm|customer-meeting|megadeck|modular|qbr,content,published,,0,0,2025-12-28T09:00:03.718Z
CX Persona Flow A AI Forward,cx-persona-flow-a,CX persona outreach sequence with AI-forward messaging approach.,https://web.outreach.io/sequences/2152/overview,,,,,content,document,messaging,ai-forward|cx-persona|outreach|sequence,content,published,,0,0,2025-12-28T09:00:03.718Z
CX Persona Flow B Pain Forward,cx-persona-flow-b,CX persona outreach sequence leading with common pain points.,https://web.outreach.io/sequences/2155/overview,,,,,content,document,messaging,cx-persona|outreach|pain-points|sequence,content,published,,0,0,2025-12-28T09:00:03.718Z
Deal Desk SSOT,deal-desk-ssot,"The ""Deal Desk Operations (SSOT)"" document serves as the single source of truth for all sales and customer success personnel on the structure, responsibilities, and processes of the Gladly Deal Des...",https://docs.google.com/document/d/1QSvu3dq3JFGTix066tZi-UVVpVRN1n5JpnRavFfCMmQ/edit?tab=t.kvo8s2ytjhp7#heading=h.1l4t046pu02f,,,,,enablement,guide,product-training,csm|customer-success|gladly|gladly-sidekick|gladly-team|impl|implementation|sales,enablement,published,,0,0,2025-12-28T08:20:23.496Z
DealHub Certification,dealhub-certification,"This self-led program equips you to confidently create and manage quotes in DealHub by learning how it integrates with Salesforce, automates data sync, and streamlines the quote-to-contract process.",,,,https://classroom.google.com/w/NzM1NTM3MjkxNzQx/tc/NzY1MTYxNDE2NTEz,,coe,course,internal-best-practice,course|internal-ops|ps|sales,coe,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 1: DealHub 101,dealhub-module-1-dealhub-101,DealHub certification module 1 - DealHub 101,https://drive.google.com/file/d/1r55AH8fD5ECdPrDF0O6vQuO1dywFbSe9/view,https://drive.google.com/file/d/1r55AH8fD5ECdPrDF0O6vQuO1dywFbSe9/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 2: Simple Quote Generation,dealhub-module-2-simple-quote-generation,DealHub certification module 2 - Simple Quote Generation,https://drive.google.com/file/d/1VBXMHfoBXvjQWyg5ZvjCAimaazLemOM_/view,https://drive.google.com/file/d/1VBXMHfoBXvjQWyg5ZvjCAimaazLemOM_/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 3: Advanced Quoting,dealhub-module-3-advanced-quoting,DealHub certification module 3 - Advanced Quoting,https://drive.google.com/file/d/1oVEM3Jjq7YMQHeW2HvEObjjfLYOt2lip/view,https://drive.google.com/file/d/1oVEM3Jjq7YMQHeW2HvEObjjfLYOt2lip/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 4: Approvals & Dealtalk,dealhub-module-4-approvals-dealtalk,DealHub certification module 4 - Approvals & Dealtalk,https://drive.google.com/file/d/1nbHeiZr4OzJQN6aF1IWbwPG34jnyQvII/view,https://drive.google.com/file/d/1nbHeiZr4OzJQN6aF1IWbwPG34jnyQvII/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
DealHub Module 5: Publishing & Execution,dealhub-module-5-publishing-execution,DealHub certification module 5 - Publishing & Execution,https://drive.google.com/file/d/1kEgBI_O8-rM8B4zgvilrQYajA9Chvv0v/view,https://drive.google.com/file/d/1kEgBI_O8-rM8B4zgvilrQYajA9Chvv0v/view,,,,enablement,course,certification,course|internal-ops|ps|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Decagon Battlecard,decagon-battlecard,Competitive battle card comparing AI agent platform Decagon with Gladly positioning Gladly as the preferred solution.,https://drive.google.com/file/d/1-KbCuHpkUuCiJmSZkYO9imBki3sa50IZ/view,,,,,content,pdf,battlecard,ai-agents|decagon|enterprise,content,published,,0,0,2025-12-28T09:00:03.135Z
Demo Monkey Training,demo-monkey-training,"This video is a training session on how to use the Demo Monkey Chrome extension to customize the look and text of a demonstration environment and a prospect's website, such as changing generic reta...",https://drive.google.com/file/d/1k69fFByM3yZ-4XZm6b6u0me53ZO44Qdr/view,https://drive.google.com/file/d/1k69fFByM3yZ-4XZm6b6u0me53ZO44Qdr/view,,,,enablement,video,gtm-training,csm|customer-success|gladly|gladly-sidekick|insights|insights-dashboards|sc|solutions-consultant,enablement,published,,0,0,2025-12-28T08:20:23.496Z
Demoing Gladly Set Up Instructions,demoing-gladly-set-up-instructions,"This document is the comprehensive ""go-to guide"" for setting up and conducting a product demonstration of Gladly, an AI-powered customer service platform.",https://docs.google.com/document/d/1_ghQAlKgoWlT6vJeZ93hOkP4x6Eg5ft3alxyebSrs5s/edit?tab=t.8he7fz6pw1bq#heading=h.mr16ie5z3f3u,,,,,content,guide,deck,csm|customer-success|demo|gladly-team|sales|sc|solutions-consultant,content,published,,0,0,2025-12-28T08:20:23.496Z
Discovery,discovery,"This self-led program equips you to excel in first meetings by showcasing Gladly’s value, customizing the deck, building rapport, and conducting discovery.",,,,https://docs.google.com/document/d/1PALIKygFK0qpJUDz0TIiXPyy-xWn4oRZ9G6zezCyfYs/edit?tab=t.0,,enablement,course,gtm-training,course|csm|customer-success|gtm-strategy|sales|value-realization,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Dixa Battlecard,dixa-battlecard,Dixa Battle Card for Gladly sales teams competing against Dixa.,https://docs.google.com/document/d/1_x1GZjDmha5lDn-Fn2a0tkeAV10NdVeN0nP147KX3lk/edit,,,,,content,document,battlecard,conversational|dixa|smb,content,published,,0,0,2025-12-28T09:00:03.135Z
ENT/MM:  Early Stage Execution S1>S3,entmm-early-stage-execution-s1s3,"This selection of documents and sheets focuses on sales and Go-to-Market (GTM) strategy for Gladly, encompassing a GTM hub, competitor battlecards, and detailed sales process documentation.",https://drive.google.com/file/d/1ANX05XbSEjOsSo7UD8mZm61zCCXcf9Ke/view?usp=drive_link,https://drive.google.com/file/d/1ANX05XbSEjOsSo7UD8mZm61zCCXcf9Ke/view?usp=drive_link,https://docs.google.com/presentation/d/1oCEMXXzyw83HJfIpGIgOd6QD0JMWvu4H4Eh2NkZe6pw/edit?usp=drive_link,https://drive.google.com/drive/folders/1WLdRQ7c1tPNfwkUdzXVb9U0-pmhN5RUe,,enablement,live-replay,gtm-training,playbook|sales,enablement,published,,0,0,2025-12-28T07:49:21.783Z
Exec Summary Template,exec-summary-template,Template for creating executive business review summary documents.,https://docs.google.com/document/d/14LpTNuM_v8QvJMv4122mFbkS_tWiLaMQPQ_oKpzBcaw/template/preview,,,,,coe,slides,internal-best-practice,csm|customer-success,coe,published,,0,0,2025-12-28T08:20:23.496Z
Executive Meeting Schedule & Summaries,executive-meeting-schedule-summaries,"This document contains detailed meeting notes from May to December 2025 regarding Gladly's partnership with Nordstrom, outlining executive discussions and technical workstreams.",https://docs.google.com/document/d/1r8gaizvRrwq9_cO4py62TSXoTbB5M68NJMvATRjugtE/edit?tab=t.0#heading=h.nzm35iuxl10v,,,,,coe,tool,internal-best-practice,csm|customer-success|gladly|gladly-sidekick,coe,published,,0,0,2025-12-28T08:20:23.496Z
Field Demo Certification Intro,field-demo-certification-intro,"The folder contains a presentation, meeting notes, and a recording related to the Field Demo Certification program, which is designed to train Account Executives, Account Managers, and Solutions Co...",https://drive.google.com/file/d/1LJvdvlP3vDgfgS2uExr2oCmjJR55fkWY/view?usp=drive_link,https://drive.google.com/file/d/1LJvdvlP3vDgfgS2uExr2oCmjJR55fkWY/view?usp=drive_link,https://docs.google.com/presentation/d/1buZ9LWl8__ax0UAkT2vAcoQQFhvy17GJn1CJ53XpUWs/edit?usp=drive_link,https://drive.google.com/drive/folders/1fprUSo0UDj0cee4BI85oPwrI8CKWlgbP,,enablement,live-replay,certification,csm|customer-success|partner|sc|solutions-consultant,enablement,published,,0,0,2025-12-28T07:49:21.783Z
First Meeting Deck Release 2.0,first-meeting-deck-2-0,First Meeting Deck for AI-powered platform with Sidekick and Hero outcomes-based AI.,https://docs.google.com/presentation/d/1TzNEZDVrxebVmFrHC4Jw6xhzUCPf4de7AUQ3-BxsNcY/edit,,,,,content,slides,template,customer-ai|first-meeting|gladly|gladly-team|hero|outcomes|sidekick,content,published,,0,0,2025-12-28T09:00:03.718Z
First Meeting Deck Template,first-meeting-deck-template,First Meeting Deck for Gladly CX platform introduction powered by Customer AI.,https://docs.google.com/presentation/d/1Qdyxq28dI7SgXoglXYJeTR0ErMc3Z0VFYKfCOg5dOhA/edit,,,,,content,slides,template,customer-ai|discovery|first-meeting|sales|sales-methodology|sc|slides,content,published,,0,0,2025-12-28T09:00:03.135Z
Flip Competitive + SK Voice Roadmap,flip-competitive-sk-voice-roadmap,"The folder ""EH 9/4/25: Flip Competitive + SK Voice Roadmap"" contains materials primarily focused on positioning Gladly's Sidekick Voice product against its competitor, Flip.",https://drive.google.com/file/d/1lX6mQR67YrmyhMj7yQKYjaHGEDu9Ia6s/view?usp=drive_link,https://drive.google.com/file/d/1lX6mQR67YrmyhMj7yQKYjaHGEDu9Ia6s/view?usp=drive_link,https://docs.google.com/presentation/d/1HXtnTEDy1whNxU0OC3CZXs4R85amvqR7cyh9wBe6Jdk/edit?usp=drive_link,https://drive.google.com/drive/folders/1HpX_xLFPJVlACOUl3IM9v5rB589JMFli?usp=drive_link,,content,live-replay,competitive,gladly|sales|voice,content,published,,0,0,2025-12-28T07:49:21.783Z
Flip.cx Voice Battle Card,flip-voice-battlecard,Comprehensive sales and enablement kit for Gladly's Sidekick Voice AI product with competitive positioning against Flip.cx.,https://docs.google.com/document/d/1JOiR2HIDwXNUMvDK46nUV7wtX-ccRtdzgLwVTdAgiU4/edit,,,,,content,document,battlecard,flip|gladly|sidekick-voice|voice|voice-ai,content,published,,0,0,2025-12-28T09:00:03.135Z
Fortune article,fortune-article,Fortune magazine coverage of Gladly's Customer AI innovation.,https://brand-studio.fortune.com/gladly/gladly-unveils-customer-ai-to-reverse-the-decade-long-decline-in-cx/?prx_t=J9sJAAAAAAovEQA,,,,,content,article,press,brand|customer-ai|cx-strategy|enterprise|press,content,published,,0,0,2025-12-28T09:00:03.135Z
Full Funnel Customer Expansion Dash,full-funnel-customer-expansion-dash,Full-funnel dashboard for tracking customer expansion opportunities.,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002cLtVMAU/view,,,,,coe,tool,internal-best-practice,csm|customer-success|insights|sales,coe,published,,0,0,2025-12-28T08:20:23.496Z
Genesys Battlecard,genesys-battlecard,Competitive battle card positioning Gladly against Genesys as a Hero and Sidekick Competitor with key differentiators.,https://docs.google.com/document/d/1h9B0TPLhLPvV1HIu43u4_NQbx0eWhuffYIMW40-kZVM/edit,,,,,content,document,battlecard,ccaas|enterprise|genesys|gladly|gladly-team|hero|sidekick,content,published,,0,0,2025-12-28T09:00:03.135Z
Gladly Awards Slide,gladly-awards-slide,Awards Wall 2025 templates showcasing Gladly industry awards and recognition.,https://docs.google.com/presentation/d/1JSs7366K039u3AhBiO-vxGEXv6b7avB5XhL_wlvyXSo/edit,,,,,content,slides,template,awards|brand|recognition|social-proof,content,published,,0,0,2025-12-28T09:00:03.135Z
Gladly Brand Guidelines,gladly-brand-guidelines-pdf,Complete Gladly Brand Guidelines covering logotype colors typography and visual identity.,https://drive.google.com/file/d/1VnyDlJmpByt7nBbAmBVXQnA4lpBnqM5v/view,,,,,content,pdf,guide,brand|design|guidelines|identity|marketing|mktg,content,published,,0,0,2025-12-28T09:00:03.135Z
Gladly Brand Guidelines High Level,gladly-brand-guidelines-high-level,Brand Guidelines presentation for consistent Gladly brand representation.,https://docs.google.com/presentation/d/10SILxH41R64hYfIngnCsO3nZfbJY7zFDGB2cA9b1FoM/edit,,,,,content,slides,guide,brand|design|guidelines|marketing|mktg,content,published,,0,0,2025-12-28T09:00:03.135Z
Gladly Customer AI Launch Video,gladly-customer-ai-launch-video,Video on Customer AI solving personalized service and cost-effectiveness tradeoffs.,https://gladly.wistia.com/medias/6j0k6m70k1,,,,,content,video,deck,cost-savings|customer-ai|launch|personalization|platform|video,content,published,,0,0,2025-12-28T09:00:03.914Z
Gladly Customer AI Video,gladly-customer-ai-video,Video highlighting Customer AI approach to fundamentally different CX.,https://gladly.wistia.com/medias/1gkuxekq2f,,,,,content,video,deck,customer-ai|innovation|overview|platform|video,content,published,,0,0,2025-12-28T09:00:03.718Z
Gladly Demo 2025,gladly-demo-2025,Video of Julie Chang experiencing personalized Sidekick AI service at Retali Outdoors.,https://gladly.wistia.com/medias/mrye3schxt,,,,,content,video,deck,customer-experience|demo|gladly|personalization|retail|sidekick|video,content,published,,0,0,2025-12-28T09:00:03.914Z
Gladly Eliminates Silos One Pager,gladly-eliminates-silos-one-pager,Use Case One Pager showing how Gladly breaks siloed support experiences.,https://drive.google.com/file/d/1pY4hOMPc7YhXm2AskFHACR6Zw33MDcnR/view,,,,,content,pdf,one-pager,gladly|omnichannel|sidekick|silos|unified|use-case,content,published,,0,0,2025-12-28T09:00:03.718Z
Gladly One Pager,gladly-one-pager,One-pager overview of Gladly AI-powered Customer Service Platform.,https://drive.google.com/file/d/1bT7UvpYZ3fWHfvuc_3ZQoE8AKPnoLDul/view,,,,,content,pdf,one-pager,customer-ai|gladly|overview|platform|sidekick,content,published,,0,0,2025-12-28T09:00:03.718Z
