title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptURL,hub,format,type,tags,boards,publishDate,presenter,duration
Ada Battlecard,ada-battlecard,Competitive battle card positioning Gladly Sidekick against Ada AI no-code automation platform.,https://drive.google.com/file/d/1fnwJuqQuQt7iZDIBa3MePAfncnGF7Ee7/view,,,,,content,pdf,battlecard,battlecard|ada|competitive|sidekick|no-code|automation|smb,competitive|sales,12/28/2025,,
Intercom Fin Battlecard,intercom-fin-battlecard,Competitive battle card detailing strengths and weaknesses of Intercom Fin AI agent.,https://drive.google.com/file/d/1hxDSNP-QyNMETjwxSv5PQ42kIHAmuh6y/view,,,,,content,pdf,battlecard,battlecard|intercom|fin|competitive|ai-agents|chatbot,competitive|sales,12/28/2025,,
Sierra Battlecard,sierra-battlecard,Sierra Battlecard positioning Gladly Sidekick against Sierra autonomous agent platform.,https://drive.google.com/file/d/10ojRCBWs5FFjHEUm9Hxg597kdGAGHgLy/view,,,,,content,pdf,battlecard,battlecard|sierra|competitive|sidekick|autonomous|enterprise|executive,competitive|sales,12/28/2025,,
Zendesk Battlecard,zendesk-battlecard,Competitive battle card positioning Gladly against Zendesk mature CX platform.,https://drive.google.com/file/d/1wytz1MQTAFPBNJZ-za-nhpP083UudHye/view,,,,,content,pdf,battlecard,battlecard|zendesk|competitive|sidekick|cx-platform|helpdesk,competitive|sales,12/28/2025,,
Gorgias Battlecard,gorgias-battlecard,Competitive battle card positioning Gladly against Gorgias e-commerce customer service platform.,https://drive.google.com/file/d/18QRQimV3gSjfZw7uSsFfXBLxICy0_qFg/view,,,,,content,pdf,battlecard,battlecard|gorgias|competitive|ecommerce|retail|smb,competitive|sales,12/28/2025,,
Dixa Battlecard,dixa-battlecard,Dixa Battle Card for Gladly sales teams competing against Dixa.,https://docs.google.com/document/d/1_x1GZjDmha5lDn-Fn2a0tkeAV10NdVeN0nP147KX3lk/edit,,,,,content,document,battlecard,battlecard|dixa|competitive|conversational|smb,competitive|sales,12/28/2025,,
Kustomer Battlecard,kustomer-battlecard,Competitive battlecard with knockout positioning against Kustomer.,https://docs.google.com/document/d/1z-ePQ3ApRnIdaZYaoJt03_MT5IibRID6TOgDqpYXslo/edit,,,,,content,document,battlecard,battlecard|kustomer|competitive|crm|enterprise,competitive|sales|csm,12/28/2025,,
Salesforce Service Cloud Battle Card 2024,salesforce-service-cloud-battlecard,Salesforce Service Cloud Battle Card for Gladly sales teams.,https://docs.google.com/document/d/1C959ewp303oQtG_qcsB7Wyipq8AIe5bpY-uLh2ncDFo/edit,,,,,content,document,battlecard,battlecard|salesforce|service-cloud|competitive|enterprise|crm,competitive|sales,12/28/2025,,
Linc Battle Card 2024,linc-battlecard-2024,Linc Battle Card comparing Gladly Sidekick with competitor Linc.,https://docs.google.com/document/d/1vpQ9pWOMhNjA-bzMeMZAsegTaiHU6QgTLjigIlvfy28/edit,,,,,content,document,battlecard,battlecard|linc|competitive|sidekick|retail|ecommerce,competitive|sales|csm,12/28/2025,,
Sprinklr Battlecard 2024,sprinklr-battlecard-2024,Sprinklr Battlecard with strategies and talking points for competing against Sprinklr.,https://docs.google.com/document/d/1LTHFTItCxQHYg894EE0s0ewtL0w1uYihCImJjMdW3Pg/edit,,,,,content,document,battlecard,battlecard|sprinklr|competitive|enterprise|social|ccaas,competitive|sales,12/28/2025,,
Netomi Battle Card 2024,netomi-battlecard-2024,Netomi Battle Card comparing Gladly Sidekick against Netomi AI platform.,https://docs.google.com/document/d/10SGlOfQa6ScUmQX4qAgpe_YrSdZPFtHDnK_lFK7bSAI/edit,,,,,content,document,battlecard,battlecard|netomi|competitive|sidekick|ai-agents|automation,competitive|sales,12/28/2025,,
Competitive Capability Research,competitive-capability-research,Detailed comparison spreadsheet of AI platforms including Sidekick Intercom Fin Decagon Ada and more.,https://docs.google.com/spreadsheets/d/1PupVCE-HdsYnrMkscOI2Mtw73Zbceg02rPVX7XK5TKU/edit,,,,,content,sheet,competitive,competitive|research|sidekick|intercom|decagon|ada|sierra|zendesk|salesforce|genesys|comparison,competitive|sales,12/28/2025,,
Zendesk Competitive Snapshot,zendesk-competitive-snapshot,Competitive analysis of Sidekick for Zendesk against Intercom Fin for Zendesk and Zendesk native AI.,https://docs.google.com/document/d/1JqejOWDJcdhUYJC62LwZsHJZvjI8BpukCW14-VRGv9k/edit,,,,,content,document,competitive,competitive|zendesk|intercom|sidekick-standalone|analysis,competitive|sales,12/28/2025,,
One Off to Closed Lost Zendesk Sequence,zendesk-closed-lost-sequence,Re-engagement sequence for Zendesk closed-lost opportunities.,https://web.outreach.io/templates/81974,,,,,content,document,messaging,messaging|zendesk|outreach|sequence|re-engagement|closed-lost,sales|competitive,12/28/2025,,
Voice Competitive Landscape,voice-competitive-landscape,Voice AI Competitive Landscape spreadsheet categorizing Platform and AI Point Solution providers.,https://docs.google.com/spreadsheets/d/10JXfIooSo3nLNuU8p468f91uUbXqxGFh9tsONsv-ebQ/edit,,,,,content,sheet,competitive,competitive|voice|sidekick-voice|landscape|research|ai-voice,competitive|product,12/28/2025,,
Zendesk vs Gladly CI Analysis 2025,zendesk-gladly-ci-analysis-2025,Competitive Intelligence Analysis comparing Zendesk and Gladly platforms features pricing and positioning.,https://docs.google.com/document/d/1ISCpT49SKsxg9OVhFepvKvF4M-IApszxnKC09GAqNh4/edit,,,,,content,document,competitive,competitive|zendesk|analysis|pricing|features|positioning,competitive|sales,12/28/2025,,
Selling High + FM Deck,selling-high-fm-deck-enablement,Sales enablement covering refreshed First Meeting Deck and Selling High strategies for executives.,https://docs.google.com/presentation/d/11LraGLfKuVWTg2IpB302i4W3XhA6rbsoW799J5HSvYY/edit,,,,,content,slides,training,training|selling-high|first-meeting|executive|discovery|sales-methodology,enablement|sales,6/12/2025,,
Voice Implementation Deck,voice-implementation-deck,Sidekick Voice Implementation Kickoff presentation template for customer projects.,https://docs.google.com/presentation/d/1VT38dCAXkZU1YOSZvsH-NVManTbWVDOEINKtkcyaClc/edit,,,,,content,slides,template,template|sidekick-voice|implementation|kickoff|customer-facing,sales|sc|product,12/28/2025,,
Online Marketplaces Slides,online-marketplaces-slides,Slide library for Online Marketplaces vertical showing Gladly platform excellence at scale.,https://docs.google.com/presentation/d/15lQocvlxIJKRoycn19k15Lc-oUr2Ih6jv4dJtww80_E/edit,,,,,content,slides,template,template|marketplace|vertical|ecommerce|slides|first-meeting,content-types|sales,12/28/2025,,
BVA Readout Template,bva-readout-template,BVA Readout Template for telling compelling value stories with financial justification.,https://docs.google.com/presentation/d/15ScGeoNBnZ63_RZ5eOwhDouVTCZR4l9xG1jYs8F79d0/present,,,,,content,slides,template,template|bva|value|roi|financial-justification|readout,coe|sales|csm,12/28/2025,,
Customer Meeting Slides,customer-meeting-slides,CS slides for leading compelling actionable customer meetings based on outcomes.,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit,,,,,content,slides,template,template|customer-meeting|csm|qbr|outcomes|slides,content-types|csm,12/28/2025,,
First Meeting Deck Template,first-meeting-deck-template,First Meeting Deck for Gladly CX platform introduction powered by Customer AI.,https://docs.google.com/presentation/d/1Qdyxq28dI7SgXoglXYJeTR0ErMc3Z0VFYKfCOg5dOhA/edit,,,,,content,slides,template,template|first-meeting|customer-ai|discovery|slides|sales-methodology,content-types|sales,12/28/2025,,
Buyout Program Deck,buyout-program-deck,Confidential internal sales presentation template for Gladly Buyout Program.,https://docs.google.com/presentation/d/1cIkq1VaWWpDKbLiloUbFm0y0om6STAOwpBlBxHjjNyw/edit,,,,,content,slides,template,template|buyout|pricing|negotiation|deal-acceleration,content-types|sales,12/28/2025,,
White Glove Implementation Service Template,white-glove-implementation-template,Sales template for premium White Glove Implementation Service offering.,https://docs.google.com/presentation/d/1jz0QT608uwqKy4-Q_EHKmCK4LBhGU6-E5O_g91f-nHY/edit,,,,,content,slides,template,template|white-glove|implementation|premium|services|objection-handling,content-types|sales|sc,12/28/2025,,
Sales Implementation Template,sales-implementation-template-101,Implementation Template 101 for Sales team first customer touchpoint after new deal.,https://docs.google.com/presentation/d/1MHch8KiJuchtUqvvzda3d6H4kUPi39ixqPoUNYhIQSk/edit,,,,,content,slides,template,template|implementation|sales|handoff|kickoff|101,content-types|sales,12/28/2025,,
SOW Readout Deck Template,sow-readout-deck-template,Statement of Work Readout Deck template for customer implementation project plans.,https://docs.google.com/presentation/d/12YzsXee5kkEtBO9vTFsI2SEfJrkjhd2zpVgqtNEwDT8/edit,,,,,content,slides,template,template|sow|implementation|project-plan|kickoff|sidekick,content-types|sc|csm,12/28/2025,,
Implementation Template 201 SC,implementation-template-201-sc,Implementation Template 201 for Solutions Consultants during customer scoping phase.,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit,,,,,content,slides,template,template|implementation|sc|scoping|proposal|201,content-types|sc,12/28/2025,,
Automated QBR Decks,automated-qbr-decks,Process for requesting automated Quarterly Business Review slide decks.,https://docs.google.com/presentation/d/11EMqR6s3KOlnRafjzgITBmt4QyUFgvlC2zRxfvsmydU/edit,,,,,content,slides,template,tool|qbr|automation|csm|reporting|process,coe|csm,12/28/2025,,
Gladly Awards Slide,gladly-awards-slide,Awards Wall 2025 templates showcasing Gladly industry awards and recognition.,https://docs.google.com/presentation/d/1JSs7366K039u3AhBiO-vxGEXv6b7avB5XhL_wlvyXSo/edit,,,,,content,slides,template,template|awards|social-proof|brand|recognition,content-types|sales,12/28/2025,,
Gladly Slide Template,gladly-slide-template,Gladly Slide Template 2025 guide ensuring brand identity alignment in presentations.,https://docs.google.com/presentation/d/19gVbxwGuKvJKGDLAyRg_q_wJPcNXhSef-UgaQohEXCI/edit,,,,,content,slides,template,template|brand|slides|design|guidelines,content-types|sales|csm,12/28/2025,,
Architecture Security and Integrations Deck,architecture-security-integrations-deck,Technical presentation detailing Gladly Platform architecture security reliability and integrations.,https://docs.google.com/presentation/d/1Y5rf0oVvCpRwaDr-3cpDNHx4vNhi3NAtlpRealb2vVc/edit,,,,,content,slides,template,template|architecture|security|integrations|technical|app-platform,content-types|sc|sales,12/28/2025,,
Gladly Brand Guidelines High Level,gladly-brand-guidelines-high-level,Brand Guidelines presentation for consistent Gladly brand representation.,https://docs.google.com/presentation/d/10SILxH41R64hYfIngnCsO3nZfbJY7zFDGB2cA9b1FoM/edit,,,,,content,slides,guide,guide|brand|guidelines|design|marketing,content-types|sales|csm,12/28/2025,,
Gladly Brand Guidelines,gladly-brand-guidelines-pdf,Complete Gladly Brand Guidelines covering logotype colors typography and visual identity.,https://drive.google.com/file/d/1VnyDlJmpByt7nBbAmBVXQnA4lpBnqM5v/view,,,,,content,pdf,guide,guide|brand|guidelines|design|identity|marketing,content-types|sales|csm,12/28/2025,,
GTM Launch Sizing,gtm-launch-sizing,GTM Launch Sizing framework with T-shirt Sizes for categorizing launches by scale and effort.,https://docs.google.com/document/d/1xbK_FVGttqS2Kd8Hc-uL7U1mCvSelL9uyaD0kGgZUf0/edit,,,,,content,document,guide,guide|gtm|launch|sizing|process|planning,coe|sales,12/28/2025,,
Inbound Content Tracker,inbound-content-tracker,Gladly Editorial Tracker for monitoring and managing editorial content projects.,https://docs.google.com/spreadsheets/d/1zpjKQfkjY0503zAhMlGVFxtkhJ-iblFiHVREZBFOiMk/edit,,,,,content,sheet,tool,tool|content|tracker|editorial|marketing|planning,content-types|sales,12/28/2025,,
Content Garden,content-garden,Comprehensive inventory of content assets focused on AI and Customer Experience topics.,https://docs.google.com/spreadsheets/d/1y-p4_Ax7PKwfKDRa3djxYLAjD9tnc3m42YmYwa44aE4/edit,,,,,content,sheet,tool,tool|content|inventory|ai|cx|marketing,content-types|sales,12/28/2025,,
Content Cheat Sheet,content-cheat-sheet,Content Cheat Sheet from Gladly Content Team with mission resources and Q3 2025 priorities.,https://docs.google.com/document/d/1wQGGRdwZEQIUoTYM-g50Qn5m90cSTCpiQ7-jDUPhk7o/edit,,,,,content,document,guide,guide|content|resources|priorities|marketing,content-types|sales|csm,12/28/2025,,
Ticket Submission,ticket-submission-form,Asana form for submitting RevOps tickets and operational requests.,https://form.asana.com/?k=vEFTHN5vMhk-uFvmAXLNmw&d=238013372418030,,,,,coe,document,tool,tool|revops|tickets|operations|asana|process,coe|sales|csm,12/28/2025,,
Project Brief Templates,project-brief-templates,Templates for creating project brief documents for initiatives.,https://docs.google.com/document/d/1-6PZXNsCDD6DBZET-Cs8cMWc_WdH4w82z5jeLeIGVKk/template/preview,,,,,coe,document,template,template|project|brief|planning|process,coe|sales|csm,12/28/2025,,
Sprint Planning Boards,sprint-planning-boards,Asana boards for sprint planning and project management.,https://app.asana.com/0/portfolio/1209972750071019/1209982290683926,,,,,coe,document,tool,tool|sprint|planning|asana|project-management,coe|sales|csm,12/28/2025,,
Core Systems Tips and Tricks,core-systems-tips-tricks,Internal resource for RevOps combining system tips with project management templates.,https://docs.google.com/document/d/1uBiC3y-yMgVGLkk67u_PUFttIhb9d8Nfc_qmyVM39J8/edit,,,,,coe,document,guide,guide|revops|systems|tips|process,coe|sales,12/28/2025,,
RFP Responses Features Catalog,rfp-features-catalog,Gladly Features and Capabilities Catalog structured as detailed RFP response.,https://docs.google.com/presentation/d/18QltI12crYoWGqTH7VuJcR7OzcTGRsW3H7lavT_QqyE/edit,,,,,content,slides,guide,guide|rfp|features|capabilities|response|enterprise,content-types|sales|sc,12/28/2025,,
RFX Narrative Template,rfx-narrative-template,RFP Narrative Template 2025 comprehensive proposal presentation for client RFPs.,https://docs.google.com/presentation/d/1k65pLU9t9JI8pHXfzBhO2aAT-WyEpvPTt1x2M8MgEOQ/edit,,,,,content,slides,template,template|rfp|rfx|proposal|narrative|enterprise,content-types|sales|sc,12/28/2025,,
New Customer Quotes,new-customer-quotes,Gladly 2.0 Positioning and Narrative Doc with core messaging and customer quotes.,https://docs.google.com/document/d/11WASvMHVqCLqAzokS2y9YUGQdmbs5cTeqI_OrmyBApE/edit,,,,,content,document,messaging,messaging|quotes|customer|positioning|narrative|sidekick,content-types|sales,12/28/2025,,
Voice Readiness Checklist,voice-readiness-checklist,Strategy features and technical implementation process for Sidekick Voice expansion.,https://docs.google.com/document/d/1vrzb4BL99Bdvv2T4B2v-A0APx7AC7JC4IAC0i0MlR3k/edit,,,,,content,document,guide,guide|sidekick-voice|readiness|implementation|checklist|expansion,content-types|sales|sc,12/28/2025,,
Voice Testing Checklist,voice-testing-checklist,Sidekick on Voice testing checklist template for Voice AI IVR implementation validation.,https://docs.google.com/document/d/17EX3ZoyMaNVcajoverDs3BfH4wdBo4SD9Hw9yBOOB8A/edit,,,,,content,document,guide,guide|sidekick-voice|testing|implementation|validation|ivr,content-types|sc,12/28/2025,,
Online Marketplace Vertical Analysis,online-marketplace-vertical-analysis,Marketplace Vertical Research 2024 with market size key segments and pain points.,https://docs.google.com/document/d/1RGiv1Hb4fPfikezxsxIj4agGRN1Nl_zPMK3MY7vUnxM/edit,,,,,content,document,guide,guide|marketplace|vertical|research|analysis|ecommerce,content-types|sales,12/28/2025,,
Online Marketplaces FAQs,online-marketplaces-faqs,FAQ guide for Travel Hospitality and Online Marketplaces verticals.,https://docs.google.com/document/d/1Cdd_ivXFOs2k1pipyeUUgSLTdUr3CSfzxq-qGErmkBs/edit,,,,,content,document,guide,guide|marketplace|travel|hospitality|faq|vertical,content-types|sales,12/28/2025,,
Sidekick Voice Top 20 Selling Kit,sidekick-voice-top-20-kit,Comprehensive Top 20 Selling Kit for Sidekick Voice with resources for Account Managers.,https://docs.google.com/document/d/1JOiR2HIDwXNUMvDK46nUV7wtX-ccRtdzgLwVTdAgiU4/edit,,,,,content,document,guide,guide|sidekick-voice|selling-kit|expansion|account-management,content-types|sales|csm,12/28/2025,,
Customer AI Guide,customer-ai-guide,Comprehensive guide to Gladly Customer AI capabilities and implementation.,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,content,pdf,guide,guide|customer-ai|capabilities|implementation|overview,content-types|sales|csm,12/28/2025,,
Customer AI Guide with App Platform,customer-ai-guide-app-platform,Presentation introducing Sidekick Email and new App Platform features.,https://cdn.sanity.io/files/ny21dgz6/production/6af3c91cf9107316fbe87182799ea3d62f17887c.pdf,,,,,content,pdf,guide,guide|customer-ai|sidekick-email|app-platform|features,content-types|sales|csm,12/28/2025,,
Customer Meeting Template Megadeck,customer-meeting-megadeck,Customer Meeting Megadeck FY26 Q4 modular presentation for CSMs and AMs.,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit,,,,,content,slides,template,template|customer-meeting|megadeck|csm|qbr|modular,content-types|csm|sales,12/28/2025,,
Case Studies Testimonials Social Proof Slides,case-studies-social-proof-slides,Social Proof collection of customer success stories quotes and key metrics.,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit,,,,,content,slides,template,template|case-studies|testimonials|social-proof|metrics|customers,content-types|sales|csm,12/28/2025,,
First Meeting Deck Release 2.0,first-meeting-deck-2-0,First Meeting Deck for AI-powered platform with Sidekick and Hero outcomes-based AI.,https://docs.google.com/presentation/d/1TzNEZDVrxebVmFrHC4Jw6xhzUCPf4de7AUQ3-BxsNcY/edit,,,,,content,slides,template,template|first-meeting|sidekick|hero|customer-ai|outcomes,content-types|sales,12/28/2025,,
Answer Threads Kickoff Implementation Template,answer-threads-kickoff-template,Q1 FY26 Answer Threads Implementation Kickoff presentation template.,https://docs.google.com/presentation/d/1Kck65Q3II0SPTM1pFjmG3aXRyyRV6pHWfWldkXLzDYU/edit,,,,,content,slides,template,template|answer-threads|implementation|kickoff|journeys,content-types|sc|csm,12/28/2025,,
Online Marketplace Slides FY25 Q4,online-marketplace-slides-fy25-q4,Confidential slide library for Online Marketplaces vertical FY25 Q4.,https://docs.google.com/presentation/d/15lQocvlxIJKRoycn19k15Lc-oUr2Ih6jv4dJtww80_E/edit,,,,,content,slides,template,template|marketplace|vertical|slides|ecommerce,content-types|sales,12/28/2025,,
Marketplace Sequence Messaging,marketplace-sequence-messaging,High Volume Marketplace Sequence messaging guide for sales outreach.,https://docs.google.com/document/d/1A3e5Q5vYkOZJo4i14hdfHDXH8ewCo9TTz0699FqEkU0/edit,,,,,content,document,messaging,messaging|marketplace|sequence|outreach|sales-cadence,content-types|sales,12/28/2025,,
Stats for Customer AI,stats-customer-ai,Gladly 2.0 Positioning and Narrative Doc with stats and foundational messaging.,https://docs.google.com/document/d/11WASvMHVqCLqAzokS2y9YUGQdmbs5cTeqI_OrmyBApE/edit,,,,,content,document,messaging,messaging|customer-ai|stats|positioning|narrative|sidekick,content-types|sales|csm,12/28/2025,,
Standalone Demo Script,standalone-demo-script,Gladly Platform Demo Guide and Script with two comprehensive scenarios.,https://docs.google.com/document/d/12vNcMToBUXSbvCUwiL4gnr-b5Z6x4-pUFUJ5IOxrORg/edit,,,,,content,document,messaging,messaging|demo|script|sidekick-standalone|customer-ai,content-types|sales|sc,12/28/2025,,
Sidekick For Zendesk Sequence,sidekick-zendesk-sequence,Outbound sequence template for Sidekick for Zendesk prospects.,https://web.outreach.io/sequences/2171,,,,,content,document,messaging,messaging|sidekick-standalone|zendesk|sequence|outreach,content-types|sales,12/28/2025,,
CX Persona Flow A AI Forward,cx-persona-flow-a,CX persona outreach sequence with AI-forward messaging approach.,https://web.outreach.io/sequences/2152/overview,,,,,content,document,messaging,messaging|cx-persona|sequence|ai-forward|outreach,content-types|sales,12/28/2025,,
CX Persona Flow B Pain Forward,cx-persona-flow-b,CX persona outreach sequence leading with common pain points.,https://web.outreach.io/sequences/2155/overview,,,,,content,document,messaging,messaging|cx-persona|sequence|pain-points|outreach,content-types|sales,12/28/2025,,
Airline Vertical Sequence,airline-vertical-sequence,Vertical-specific outbound sequence for airline industry prospects.,https://web.outreach.io/sequences/2156,,,,,content,document,messaging,messaging|airline|travel|vertical|sequence|outreach,content-types|sales,12/28/2025,,
Sidekick Sales Messaging Brief,sidekick-sales-messaging-brief,Sidekick Sales messaging Brief for transforming conversations into revenue.,https://drive.google.com/file/d/1U-DqVT-D9RQo9ClS1sV8_oafCkHOGidn/view,,,,,content,pdf,messaging,messaging|sidekick-sales|revenue|value-prop|ecommerce,content-types|sales,12/28/2025,,
Sidekick Sales Command of the Message,sidekick-sales-command-message,Sidekick Sales Command of the Message Guide for revenue growth without ad spend.,https://drive.google.com/file/d/1e_fqoiDMMvxUxfXxid2DSbmZwMBomHae/view,,,,,content,pdf,messaging,messaging|sidekick-sales|command-message|revenue|methodology,content-types|sales|sc,12/28/2025,,
Sidekick Voice Email Template,sidekick-voice-email-template,Internal expansion process for Sidekick Voice with customer-facing slides and email templates.,https://docs.google.com/document/d/1vrzb4BL99Bdvv2T4B2v-A0APx7AC7JC4IAC0i0MlR3k/edit,,,,,content,document,messaging,messaging|sidekick-voice|expansion|email-template|top-20,content-types|sales|csm,12/28/2025,,
Sidekick Voice Positioning Pricing,sidekick-voice-positioning-pricing,Sidekick Voice positioning framework and pricing structure overview.,https://docs.google.com/document/d/1JOiR2HIDwXNUMvDK46nUV7wtX-ccRtdzgLwVTdAgiU4/edit,,,,,content,document,messaging,messaging|sidekick-voice|positioning|pricing|expansion,content-types|sales|csm,12/28/2025,,
Sidekick Email Follow Up Template,sidekick-email-followup-template,Sidekick Email Follow-Up Template and Outreach Guidelines for AMs AEs and CSMs.,https://docs.google.com/document/d/1f2FfOZ2NcfxbAZKKiKU2lf0MHmqDoTSOmPywWeZ2LKw/edit,,,,,content,document,messaging,messaging|sidekick-email|followup|outreach|expansion,content-types|sales|csm,12/28/2025,,
Travel Hospitality Vertical Analysis,travel-hospitality-vertical-analysis,Travel and Hospitality Vertical Analysis with trends segments and pain points.,https://docs.google.com/document/d/1GhbYoFlbHIXS-tVdMy1_ngotx5gzxCEPl-ySJN3lA3E/edit,,,,,content,document,guide,guide|travel|hospitality|vertical|research|analysis,content-types|sales,12/28/2025,,
Travel Hospitality Sequence Messaging,travel-hospitality-sequence-messaging,Travel Hospitality Sequence messaging guide with email and social templates.,https://docs.google.com/document/d/18nBbbcnX7IV4a6qHtgaqgo-2SVWB_RS_-KCPb3dmP_c/edit,,,,,content,document,messaging,messaging|travel|hospitality|sequence|outreach,content-types|sales,12/28/2025,,
Travel Hospitality FAQs,travel-hospitality-faqs,FAQ guide for Travel Hospitality and Online Marketplaces verticals.,https://docs.google.com/document/d/1Cdd_ivXFOs2k1pipyeUUgSLTdUr3CSfzxq-qGErmkBs/edit,,,,,content,document,guide,guide|travel|hospitality|faq|vertical,content-types|sales,12/28/2025,,
Social Comments Messaging Brief,social-comments-messaging-brief,Messaging brief for Gladly Social Comments feature bringing Instagram into platform.,https://docs.google.com/document/d/1BcXnWp8z9HDPahEzcAK7UDg6ODTLXHME-TCK_uA_KtQ/edit,,,,,content,document,messaging,messaging|social-comments|instagram|channels|feature,content-types|sales|product,12/28/2025,,
Gladly One Pager,gladly-one-pager,One-pager overview of Gladly AI-powered Customer Service Platform.,https://drive.google.com/file/d/1bT7UvpYZ3fWHfvuc_3ZQoE8AKPnoLDul/view,,,,,content,pdf,one-pager,one-pager|platform|overview|customer-ai|sidekick,content-types|sales|csm,12/28/2025,,
Customer AI One Pager,customer-ai-one-pager,Infographic detailing Gladly Customer AI intelligence layer for CX Platform.,https://drive.google.com/file/d/1dVUrfYkQUHbuUY2kiM3WnfnoZOlGLY1D/view,,,,,content,pdf,one-pager,one-pager|customer-ai|platform|efficiency|personalization,content-types|sales|csm,12/28/2025,,
